task,model,run,build_ok,test_ok,in_tok,out_tok,cost_usd,latency_s,workdir
bug1-petvalidator,minimax/minimax-m3,1,True,True,690,728,0.0011,23.0,results\bug1-petvalidator__minimax_minimax-m3__r1
bug1-petvalidator,minimax/minimax-m3,2,True,True,690,635,0.001,12.7,results\bug1-petvalidator__minimax_minimax-m3__r2
bug1-petvalidator,minimax/minimax-m3,3,True,True,690,517,0.0008,9.0,results\bug1-petvalidator__minimax_minimax-m3__r3
bug1-petvalidator,deepseek/deepseek-v4-flash,1,True,True,555,555,0.0001,6.2,results\bug1-petvalidator__deepseek_deepseek-v4-flash__r1
bug1-petvalidator,deepseek/deepseek-v4-flash,2,True,True,555,630,0.0002,6.8,results\bug1-petvalidator__deepseek_deepseek-v4-flash__r2
bug1-petvalidator,deepseek/deepseek-v4-flash,3,True,True,555,669,0.0002,7.3,results\bug1-petvalidator__deepseek_deepseek-v4-flash__r3
bug1-petvalidator,z-ai/glm-4.7,1,True,True,519,1419,0.0027,29.5,results\bug1-petvalidator__z-ai_glm-4.7__r1
bug1-petvalidator,z-ai/glm-4.7,2,True,True,519,1074,0.0021,21.4,results\bug1-petvalidator__z-ai_glm-4.7__r2
bug1-petvalidator,z-ai/glm-4.7,3,True,True,519,1428,0.0027,26.5,results\bug1-petvalidator__z-ai_glm-4.7__r3
bug2-ownercontroller,minimax/minimax-m3,1,True,True,1681,3435,0.0046,45.1,results\bug2-ownercontroller__minimax_minimax-m3__r1
bug2-ownercontroller,minimax/minimax-m3,2,True,True,1730,1517,0.0023,18.8,results\bug2-ownercontroller__minimax_minimax-m3__r2
bug2-ownercontroller,minimax/minimax-m3,3,True,True,1730,1757,0.0026,15.5,results\bug2-ownercontroller__minimax_minimax-m3__r3
bug2-ownercontroller,deepseek/deepseek-v4-flash,1,True,True,1614,1673,0.0004,12.9,results\bug2-ownercontroller__deepseek_deepseek-v4-flash__r1
bug2-ownercontroller,deepseek/deepseek-v4-flash,2,True,True,1614,1848,0.0005,22.9,results\bug2-ownercontroller__deepseek_deepseek-v4-flash__r2
bug2-ownercontroller,deepseek/deepseek-v4-flash,3,True,True,1614,1824,0.0005,9.1,results\bug2-ownercontroller__deepseek_deepseek-v4-flash__r3
bug2-ownercontroller,z-ai/glm-4.7,1,True,True,1464,2316,0.0046,31.2,results\bug2-ownercontroller__z-ai_glm-4.7__r1
bug2-ownercontroller,z-ai/glm-4.7,2,True,True,1464,2115,0.0043,10.3,results\bug2-ownercontroller__z-ai_glm-4.7__r2
bug2-ownercontroller,z-ai/glm-4.7,3,True,True,1464,3711,0.0071,63.5,results\bug2-ownercontroller__z-ai_glm-4.7__r3
sb-feat1-name-length,minimax/minimax-m3,1,True,True,744,1371,0.0019,23.7,results\sb-feat1-name-length__minimax_minimax-m3__r1
sb-feat1-name-length,minimax/minimax-m3,2,True,True,744,687,0.001,11.0,results\sb-feat1-name-length__minimax_minimax-m3__r2
sb-feat1-name-length,minimax/minimax-m3,3,True,True,744,1378,0.0019,23.5,results\sb-feat1-name-length__minimax_minimax-m3__r3
sb-feat1-name-length,deepseek/deepseek-v4-flash,1,True,True,595,509,0.0001,11.0,results\sb-feat1-name-length__deepseek_deepseek-v4-flash__r1
sb-feat1-name-length,deepseek/deepseek-v4-flash,2,True,True,612,905,0.0002,10.8,results\sb-feat1-name-length__deepseek_deepseek-v4-flash__r2
sb-feat1-name-length,deepseek/deepseek-v4-flash,3,True,True,595,2096,0.0004,16.4,results\sb-feat1-name-length__deepseek_deepseek-v4-flash__r3
sb-feat1-name-length,z-ai/glm-4.7,1,True,True,560,2631,0.0048,38.4,results\sb-feat1-name-length__z-ai_glm-4.7__r1
sb-feat1-name-length,z-ai/glm-4.7,2,False,False,560,2616,0.0048,125.0,results\sb-feat1-name-length__z-ai_glm-4.7__r2
sb-feat1-name-length,z-ai/glm-4.7,3,True,True,560,2586,0.0047,128.2,results\sb-feat1-name-length__z-ai_glm-4.7__r3
bug1-petvalidator,qwen/qwen3.7-plus,1,True,True,563,1847,0.0025,35.4,results\bug1-petvalidator__qwen_qwen3.7-plus__r1
bug1-petvalidator,qwen/qwen3.7-plus,2,True,True,563,1997,0.0027,37.7,results\bug1-petvalidator__qwen_qwen3.7-plus__r2
bug1-petvalidator,qwen/qwen3.7-plus,3,True,True,563,1855,0.0026,50.9,results\bug1-petvalidator__qwen_qwen3.7-plus__r3
bug1-petvalidator,google/gemini-3.1-flash-lite,1,True,True,572,486,0.0009,2.2,results\bug1-petvalidator__google_gemini-3.1-flash-lite__r1
bug1-petvalidator,google/gemini-3.1-flash-lite,2,True,True,571,486,0.0009,3.0,results\bug1-petvalidator__google_gemini-3.1-flash-lite__r2
bug1-petvalidator,google/gemini-3.1-flash-lite,3,True,True,572,486,0.0009,2.4,results\bug1-petvalidator__google_gemini-3.1-flash-lite__r3
bug1-petvalidator,qwen/qwen3-coder-next,1,True,True,529,433,0.0004,3.1,results\bug1-petvalidator__qwen_qwen3-coder-next__r1
bug1-petvalidator,qwen/qwen3-coder-next,2,True,True,529,433,0.0004,24.6,results\bug1-petvalidator__qwen_qwen3-coder-next__r2
bug1-petvalidator,qwen/qwen3-coder-next,3,True,True,529,433,0.0004,2.8,results\bug1-petvalidator__qwen_qwen3-coder-next__r3
bug1-petvalidator,tencent/hy3-preview,1,True,True,567,1181,0.0003,8.8,results\bug1-petvalidator__tencent_hy3-preview__r1
bug1-petvalidator,tencent/hy3-preview,2,True,True,567,879,0.0003,6.8,results\bug1-petvalidator__tencent_hy3-preview__r2
bug1-petvalidator,tencent/hy3-preview,3,True,True,567,911,0.0003,7.3,results\bug1-petvalidator__tencent_hy3-preview__r3
bug1-petvalidator,qwen/qwen3-coder,1,True,False,529,422,0.0009,11.2,results\bug1-petvalidator__qwen_qwen3-coder__r1
bug1-petvalidator,qwen/qwen3-coder,2,False,False,529,429,0.0009,5.9,results\bug1-petvalidator__qwen_qwen3-coder__r2
bug1-petvalidator,qwen/qwen3-coder,3,True,True,529,429,0.0009,5.0,results\bug1-petvalidator__qwen_qwen3-coder__r3
bug1-petvalidator,deepseek/deepseek-v4-pro,1,True,True,555,448,0.0006,8.7,results\bug1-petvalidator__deepseek_deepseek-v4-pro__r1
bug1-petvalidator,deepseek/deepseek-v4-pro,2,True,True,555,444,0.0006,10.4,results\bug1-petvalidator__deepseek_deepseek-v4-pro__r2
bug1-petvalidator,deepseek/deepseek-v4-pro,3,True,False,555,444,0.0006,12.1,results\bug1-petvalidator__deepseek_deepseek-v4-pro__r3
bug1-petvalidator,z-ai/glm-5.2,1,True,False,526,837,0.0039,8.5,results\bug1-petvalidator__z-ai_glm-5.2__r1
bug1-petvalidator,z-ai/glm-5.2,2,True,False,526,792,0.0037,10.8,results\bug1-petvalidator__z-ai_glm-5.2__r2
bug1-petvalidator,z-ai/glm-5.2,3,True,False,526,1115,0.005,15.4,results\bug1-petvalidator__z-ai_glm-5.2__r3
bug1-petvalidator,minimax/minimax-m2.7,1,True,False,552,832,0.001,12.3,results\bug1-petvalidator__minimax_minimax-m2.7__r1
bug1-petvalidator,minimax/minimax-m2.7,2,False,False,555,815,0.001,14.9,results\bug1-petvalidator__minimax_minimax-m2.7__r2
bug1-petvalidator,minimax/minimax-m2.7,3,True,False,551,3920,0.0041,19.8,results\bug1-petvalidator__minimax_minimax-m2.7__r3
bug2-ownercontroller,qwen/qwen3.7-plus,1,True,False,1597,3895,0.0055,71.8,results\bug2-ownercontroller__qwen_qwen3.7-plus__r1
bug2-ownercontroller,qwen/qwen3.7-plus,2,True,True,1597,2586,0.0038,48.4,results\bug2-ownercontroller__qwen_qwen3.7-plus__r2
bug2-ownercontroller,qwen/qwen3.7-plus,3,True,True,1597,3865,0.0055,71.4,results\bug2-ownercontroller__qwen_qwen3.7-plus__r3
bug2-ownercontroller,google/gemini-3.1-flash-lite,1,True,True,1751,1662,0.0029,6.2,results\bug2-ownercontroller__google_gemini-3.1-flash-lite__r1
bug2-ownercontroller,google/gemini-3.1-flash-lite,2,True,True,1751,1662,0.0029,9.2,results\bug2-ownercontroller__google_gemini-3.1-flash-lite__r2
bug2-ownercontroller,google/gemini-3.1-flash-lite,3,True,True,1752,1662,0.0029,4.9,results\bug2-ownercontroller__google_gemini-3.1-flash-lite__r3
bug2-ownercontroller,qwen/qwen3-coder-next,1,True,True,1474,1363,0.0013,40.1,results\bug2-ownercontroller__qwen_qwen3-coder-next__r1
bug2-ownercontroller,qwen/qwen3-coder-next,2,True,True,1474,1363,0.0013,11.6,results\bug2-ownercontroller__qwen_qwen3-coder-next__r2
bug2-ownercontroller,qwen/qwen3-coder-next,3,True,True,1474,1363,0.0013,31.4,results\bug2-ownercontroller__qwen_qwen3-coder-next__r3
bug2-ownercontroller,tencent/hy3-preview,1,True,True,1595,3796,0.0011,66.4,results\bug2-ownercontroller__tencent_hy3-preview__r1
bug2-ownercontroller,tencent/hy3-preview,2,True,True,1595,2006,0.0006,19.1,results\bug2-ownercontroller__tencent_hy3-preview__r2
bug2-ownercontroller,tencent/hy3-preview,3,True,True,1595,2645,0.0008,26.5,results\bug2-ownercontroller__tencent_hy3-preview__r3
bug2-ownercontroller,qwen/qwen3-coder,1,True,True,1474,1361,0.0028,15.2,results\bug2-ownercontroller__qwen_qwen3-coder__r1
bug2-ownercontroller,qwen/qwen3-coder,2,True,False,1474,1362,0.0028,11.9,results\bug2-ownercontroller__qwen_qwen3-coder__r2
bug2-ownercontroller,qwen/qwen3-coder,3,True,False,1474,1361,0.0028,16.3,results\bug2-ownercontroller__qwen_qwen3-coder__r3
bug2-ownercontroller,deepseek/deepseek-v4-pro,1,True,False,1614,1508,0.002,15.0,results\bug2-ownercontroller__deepseek_deepseek-v4-pro__r1
bug2-ownercontroller,deepseek/deepseek-v4-pro,2,True,False,1614,1508,0.002,14.7,results\bug2-ownercontroller__deepseek_deepseek-v4-pro__r2
bug2-ownercontroller,deepseek/deepseek-v4-pro,3,True,False,1614,1508,0.002,29.0,results\bug2-ownercontroller__deepseek_deepseek-v4-pro__r3
bug2-ownercontroller,z-ai/glm-5.2,1,False,False,1471,1841,0.0088,14.8,results\bug2-ownercontroller__z-ai_glm-5.2__r1
bug2-ownercontroller,z-ai/glm-5.2,2,False,False,1471,1722,0.0084,41.5,results\bug2-ownercontroller__z-ai_glm-5.2__r2
bug2-ownercontroller,z-ai/glm-5.2,3,True,False,1471,1865,0.0089,26.9,results\bug2-ownercontroller__z-ai_glm-5.2__r3
bug2-ownercontroller,minimax/minimax-m2.7,1,False,False,1592,2108,0.0025,24.0,results\bug2-ownercontroller__minimax_minimax-m2.7__r1
bug2-ownercontroller,minimax/minimax-m2.7,2,True,False,1591,1844,0.0022,6.3,results\bug2-ownercontroller__minimax_minimax-m2.7__r2
bug2-ownercontroller,minimax/minimax-m2.7,3,False,False,1591,1878,0.0023,7.1,results\bug2-ownercontroller__minimax_minimax-m2.7__r3
sb-feat1-name-length,qwen/qwen3.7-plus,1,False,False,623,3275,0.0044,60.6,results\sb-feat1-name-length__qwen_qwen3.7-plus__r1
sb-feat1-name-length,qwen/qwen3.7-plus,2,True,True,623,3097,0.0042,57.8,results\sb-feat1-name-length__qwen_qwen3.7-plus__r2
sb-feat1-name-length,qwen/qwen3.7-plus,3,False,False,623,3114,0.0042,57.6,results\sb-feat1-name-length__qwen_qwen3.7-plus__r3
sb-feat1-name-length,google/gemini-3.1-flash-lite,1,True,True,641,521,0.0009,4.8,results\sb-feat1-name-length__google_gemini-3.1-flash-lite__r1
sb-feat1-name-length,google/gemini-3.1-flash-lite,2,True,True,641,521,0.0009,2.4,results\sb-feat1-name-length__google_gemini-3.1-flash-lite__r2
sb-feat1-name-length,google/gemini-3.1-flash-lite,3,True,True,640,521,0.0009,2.5,results\sb-feat1-name-length__google_gemini-3.1-flash-lite__r3
sb-feat1-name-length,qwen/qwen3-coder-next,1,False,False,573,477,0.0004,2.8,results\sb-feat1-name-length__qwen_qwen3-coder-next__r1
sb-feat1-name-length,qwen/qwen3-coder-next,2,False,False,573,462,0.0004,11.7,results\sb-feat1-name-length__qwen_qwen3-coder-next__r2
sb-feat1-name-length,qwen/qwen3-coder-next,3,False,False,573,493,0.0005,17.0,results\sb-feat1-name-length__qwen_qwen3-coder-next__r3
sb-feat1-name-length,tencent/hy3-preview,1,False,False,592,1308,0.0004,17.0,results\sb-feat1-name-length__tencent_hy3-preview__r1
sb-feat1-name-length,tencent/hy3-preview,2,False,False,592,2100,0.0006,38.7,results\sb-feat1-name-length__tencent_hy3-preview__r2
sb-feat1-name-length,tencent/hy3-preview,3,True,True,592,1513,0.0004,16.7,results\sb-feat1-name-length__tencent_hy3-preview__r3
sb-feat1-name-length,qwen/qwen3-coder,1,False,False,573,473,0.001,5.7,results\sb-feat1-name-length__qwen_qwen3-coder__r1
sb-feat1-name-length,qwen/qwen3-coder,2,False,False,573,473,0.001,5.8,results\sb-feat1-name-length__qwen_qwen3-coder__r2
sb-feat1-name-length,qwen/qwen3-coder,3,False,False,573,473,0.001,5.3,results\sb-feat1-name-length__qwen_qwen3-coder__r3
sb-feat1-name-length,deepseek/deepseek-v4-pro,1,False,False,595,1045,0.0012,22.0,results\sb-feat1-name-length__deepseek_deepseek-v4-pro__r1
sb-feat1-name-length,deepseek/deepseek-v4-pro,2,True,True,595,1469,0.0015,17.2,results\sb-feat1-name-length__deepseek_deepseek-v4-pro__r2
sb-feat1-name-length,deepseek/deepseek-v4-pro,3,True,True,595,1221,0.0013,23.1,results\sb-feat1-name-length__deepseek_deepseek-v4-pro__r3
sb-feat1-name-length,z-ai/glm-5.2,1,True,True,567,1550,0.0068,18.6,results\sb-feat1-name-length__z-ai_glm-5.2__r1
sb-feat1-name-length,z-ai/glm-5.2,2,True,True,567,1285,0.0057,59.8,results\sb-feat1-name-length__z-ai_glm-5.2__r2
sb-feat1-name-length,z-ai/glm-5.2,3,True,True,567,910,0.0042,33.0,results\sb-feat1-name-length__z-ai_glm-5.2__r3
sb-feat1-name-length,minimax/minimax-m2.7,1,False,False,606,2088,0.0022,8.0,results\sb-feat1-name-length__minimax_minimax-m2.7__r1
sb-feat1-name-length,minimax/minimax-m2.7,2,False,False,606,1546,0.0017,5.8,results\sb-feat1-name-length__minimax_minimax-m2.7__r2
sb-feat1-name-length,minimax/minimax-m2.7,3,False,False,606,2097,0.0022,39.7,results\sb-feat1-name-length__minimax_minimax-m2.7__r3
ng-bug1-missing-input,minimax/minimax-m3,1,True,True,1208,1064,0.0016,15.4,results\ng-bug1-missing-input__minimax_minimax-m3__r1
ng-bug1-missing-input,minimax/minimax-m3,1,True,True,1208,1105,0.0017,15.0,results\ng-bug1-missing-input__minimax_minimax-m3__r1
ng-bug1-missing-input,minimax/minimax-m3,2,True,True,1208,1086,0.0017,14.9,results\ng-bug1-missing-input__minimax_minimax-m3__r2
ng-bug1-missing-input,deepseek/deepseek-v4-flash,1,True,True,1070,1126,0.0003,10.9,results\ng-bug1-missing-input__deepseek_deepseek-v4-flash__r1
ng-bug1-missing-input,deepseek/deepseek-v4-flash,2,True,True,1070,1096,0.0003,9.3,results\ng-bug1-missing-input__deepseek_deepseek-v4-flash__r2
ng-bug1-missing-input,deepseek/deepseek-v4-flash,3,True,True,1070,983,0.0003,9.7,results\ng-bug1-missing-input__deepseek_deepseek-v4-flash__r3
ng-bug1-missing-input,z-ai/glm-4.7,1,True,True,999,1484,0.003,31.0,results\ng-bug1-missing-input__z-ai_glm-4.7__r1
ng-bug1-missing-input,z-ai/glm-4.7,2,True,True,999,1521,0.0031,23.4,results\ng-bug1-missing-input__z-ai_glm-4.7__r2
ng-bug1-missing-input,z-ai/glm-4.7,3,True,True,999,2353,0.0045,84.2,results\ng-bug1-missing-input__z-ai_glm-4.7__r3
ng-feat1-reading-time,minimax/minimax-m3,1,True,True,683,452,0.0007,4.5,results\ng-feat1-reading-time__minimax_minimax-m3__r1
ng-feat1-reading-time,minimax/minimax-m3,2,True,True,696,2306,0.003,22.7,results\ng-feat1-reading-time__minimax_minimax-m3__r2
ng-feat1-reading-time,minimax/minimax-m3,3,True,True,696,4227,0.0053,48.4,results\ng-feat1-reading-time__minimax_minimax-m3__r3
ng-feat1-reading-time,deepseek/deepseek-v4-flash,1,True,True,539,956,0.0002,8.9,results\ng-feat1-reading-time__deepseek_deepseek-v4-flash__r1
ng-feat1-reading-time,deepseek/deepseek-v4-flash,2,True,True,539,949,0.0002,54.2,results\ng-feat1-reading-time__deepseek_deepseek-v4-flash__r2
ng-feat1-reading-time,deepseek/deepseek-v4-flash,3,True,True,539,904,0.0002,8.8,results\ng-feat1-reading-time__deepseek_deepseek-v4-flash__r3
ng-feat1-reading-time,z-ai/glm-4.7,1,True,True,511,2422,0.0044,18.5,results\ng-feat1-reading-time__z-ai_glm-4.7__r1
ng-feat1-reading-time,z-ai/glm-4.7,2,True,True,511,2231,0.0041,33.6,results\ng-feat1-reading-time__z-ai_glm-4.7__r2
ng-feat1-reading-time,z-ai/glm-4.7,3,True,True,511,1818,0.0034,27.3,results\ng-feat1-reading-time__z-ai_glm-4.7__r3
ng-feat2-service-search,minimax/minimax-m3,1,True,True,854,924,0.0014,13.1,results\ng-feat2-service-search__minimax_minimax-m3__r1
ng-feat2-service-search,minimax/minimax-m3,2,True,True,854,929,0.0014,12.9,results\ng-feat2-service-search__minimax_minimax-m3__r2
ng-feat2-service-search,minimax/minimax-m3,3,True,True,854,1040,0.0015,13.5,results\ng-feat2-service-search__minimax_minimax-m3__r3
ng-feat2-service-search,deepseek/deepseek-v4-flash,1,True,True,690,970,0.0002,8.3,results\ng-feat2-service-search__deepseek_deepseek-v4-flash__r1
ng-feat2-service-search,deepseek/deepseek-v4-flash,2,True,True,690,863,0.0002,9.0,results\ng-feat2-service-search__deepseek_deepseek-v4-flash__r2
ng-feat2-service-search,deepseek/deepseek-v4-flash,3,True,True,690,846,0.0002,8.3,results\ng-feat2-service-search__deepseek_deepseek-v4-flash__r3
