task,model,run,build_ok,test_ok,in_tok,out_tok,cost_usd,latency_s,workdir
ng-feat2-service-search,z-ai/glm-4.7,1,True,True,632,2135,0.004,54.6,results\ng-feat2-service-search__z-ai_glm-4.7__r1
ng-feat2-service-search,z-ai/glm-4.7,2,True,True,632,2071,0.0039,30.3,results\ng-feat2-service-search__z-ai_glm-4.7__r2
ng-feat2-service-search,z-ai/glm-4.7,3,True,True,632,2125,0.004,29.8,results\ng-feat2-service-search__z-ai_glm-4.7__r3
ng-bug1-missing-input,qwen/qwen3.7-plus,1,True,True,1125,2353,0.0034,44.7,results\ng-bug1-missing-input__qwen_qwen3.7-plus__r1
ng-bug1-missing-input,qwen/qwen3.7-plus,2,True,True,1125,1334,0.0021,26.1,results\ng-bug1-missing-input__qwen_qwen3.7-plus__r2
ng-bug1-missing-input,qwen/qwen3.7-plus,3,True,True,1125,2351,0.0034,44.2,results\ng-bug1-missing-input__qwen_qwen3.7-plus__r3
ng-bug1-missing-input,google/gemini-3.1-flash-lite,1,True,True,1215,1132,0.002,4.2,results\ng-bug1-missing-input__google_gemini-3.1-flash-lite__r1
ng-bug1-missing-input,google/gemini-3.1-flash-lite,2,True,True,1215,1132,0.002,4.2,results\ng-bug1-missing-input__google_gemini-3.1-flash-lite__r2
ng-bug1-missing-input,google/gemini-3.1-flash-lite,3,True,True,1214,1132,0.002,4.6,results\ng-bug1-missing-input__google_gemini-3.1-flash-lite__r3
ng-bug1-missing-input,qwen/qwen3-coder-next,1,True,True,1002,914,0.0008,5.0,results\ng-bug1-missing-input__qwen_qwen3-coder-next__r1
ng-bug1-missing-input,qwen/qwen3-coder-next,2,True,True,1002,914,0.0008,24.0,results\ng-bug1-missing-input__qwen_qwen3-coder-next__r2
ng-bug1-missing-input,qwen/qwen3-coder-next,3,True,True,1002,914,0.0008,5.0,results\ng-bug1-missing-input__qwen_qwen3-coder-next__r3
ng-bug1-missing-input,tencent/hy3-preview,1,True,True,1069,1277,0.0004,24.2,results\ng-bug1-missing-input__tencent_hy3-preview__r1
ng-bug1-missing-input,tencent/hy3-preview,2,True,True,1069,1492,0.0005,14.5,results\ng-bug1-missing-input__tencent_hy3-preview__r2
ng-bug1-missing-input,tencent/hy3-preview,3,True,True,1069,1401,0.0004,25.2,results\ng-bug1-missing-input__tencent_hy3-preview__r3
ng-bug1-missing-input,qwen/qwen3-coder,1,True,True,1002,913,0.0019,10.4,results\ng-bug1-missing-input__qwen_qwen3-coder__r1
ng-bug1-missing-input,qwen/qwen3-coder,2,True,True,1002,914,0.0019,8.3,results\ng-bug1-missing-input__qwen_qwen3-coder__r2
ng-bug1-missing-input,qwen/qwen3-coder,3,True,True,1002,913,0.0019,12.7,results\ng-bug1-missing-input__qwen_qwen3-coder__r3
ng-bug1-missing-input,deepseek/deepseek-v4-pro,1,True,True,1070,1158,0.0015,11.8,results\ng-bug1-missing-input__deepseek_deepseek-v4-pro__r1
ng-bug1-missing-input,deepseek/deepseek-v4-pro,2,True,True,1070,1187,0.0015,12.5,results\ng-bug1-missing-input__deepseek_deepseek-v4-pro__r2
ng-bug1-missing-input,deepseek/deepseek-v4-pro,3,True,True,1070,1290,0.0016,14.5,results\ng-bug1-missing-input__deepseek_deepseek-v4-pro__r3
ng-bug1-missing-input,z-ai/glm-5.2,1,True,True,1006,1039,0.0052,7.3,results\ng-bug1-missing-input__z-ai_glm-5.2__r1
ng-bug1-missing-input,z-ai/glm-5.2,2,True,True,1006,1009,0.005,32.9,results\ng-bug1-missing-input__z-ai_glm-5.2__r2
ng-bug1-missing-input,z-ai/glm-5.2,3,True,True,1006,1050,0.0052,10.7,results\ng-bug1-missing-input__z-ai_glm-5.2__r3
ng-bug1-missing-input,minimax/minimax-m2.7,1,True,True,1073,2218,0.0025,31.9,results\ng-bug1-missing-input__minimax_minimax-m2.7__r1
ng-bug1-missing-input,minimax/minimax-m2.7,2,True,True,1073,2247,0.0025,41.7,results\ng-bug1-missing-input__minimax_minimax-m2.7__r2
ng-bug1-missing-input,minimax/minimax-m2.7,3,True,True,1073,3019,0.0033,48.3,results\ng-bug1-missing-input__minimax_minimax-m2.7__r3
ng-feat1-reading-time,qwen/qwen3.7-plus,1,True,True,570,1393,0.002,27.0,results\ng-feat1-reading-time__qwen_qwen3.7-plus__r1
ng-feat1-reading-time,qwen/qwen3.7-plus,2,True,True,570,1196,0.0017,25.1,results\ng-feat1-reading-time__qwen_qwen3.7-plus__r2
ng-feat1-reading-time,qwen/qwen3.7-plus,3,True,True,570,2492,0.0034,46.4,results\ng-feat1-reading-time__qwen_qwen3.7-plus__r3
ng-feat1-reading-time,google/gemini-3.1-flash-lite,1,True,True,580,531,0.0009,2.8,results\ng-feat1-reading-time__google_gemini-3.1-flash-lite__r1
ng-feat1-reading-time,google/gemini-3.1-flash-lite,2,True,True,580,531,0.0009,2.7,results\ng-feat1-reading-time__google_gemini-3.1-flash-lite__r2
ng-feat1-reading-time,google/gemini-3.1-flash-lite,3,True,True,580,538,0.001,2.5,results\ng-feat1-reading-time__google_gemini-3.1-flash-lite__r3
ng-feat1-reading-time,qwen/qwen3-coder-next,1,True,True,517,447,0.0004,9.3,results\ng-feat1-reading-time__qwen_qwen3-coder-next__r1
ng-feat1-reading-time,qwen/qwen3-coder-next,2,True,True,517,446,0.0004,3.9,results\ng-feat1-reading-time__qwen_qwen3-coder-next__r2
ng-feat1-reading-time,qwen/qwen3-coder-next,3,True,True,517,453,0.0004,3.2,results\ng-feat1-reading-time__qwen_qwen3-coder-next__r3
ng-feat1-reading-time,tencent/hy3-preview,1,True,True,545,2218,0.0006,23.7,results\ng-feat1-reading-time__tencent_hy3-preview__r1
ng-feat1-reading-time,tencent/hy3-preview,2,True,True,545,4987,0.0013,57.7,results\ng-feat1-reading-time__tencent_hy3-preview__r2
ng-feat1-reading-time,tencent/hy3-preview,3,True,True,545,3728,0.001,41.9,results\ng-feat1-reading-time__tencent_hy3-preview__r3
ng-feat1-reading-time,qwen/qwen3-coder,1,True,True,517,452,0.0009,7.2,results\ng-feat1-reading-time__qwen_qwen3-coder__r1
ng-feat1-reading-time,qwen/qwen3-coder,2,True,True,517,450,0.0009,11.3,results\ng-feat1-reading-time__qwen_qwen3-coder__r2
ng-feat1-reading-time,qwen/qwen3-coder,3,True,True,517,460,0.0009,3.9,results\ng-feat1-reading-time__qwen_qwen3-coder__r3
ng-feat1-reading-time,deepseek/deepseek-v4-pro,1,True,True,539,939,0.0011,11.9,results\ng-feat1-reading-time__deepseek_deepseek-v4-pro__r1
ng-feat1-reading-time,deepseek/deepseek-v4-pro,2,True,True,539,929,0.001,26.7,results\ng-feat1-reading-time__deepseek_deepseek-v4-pro__r2
ng-feat1-reading-time,deepseek/deepseek-v4-pro,3,True,True,539,861,0.001,15.5,results\ng-feat1-reading-time__deepseek_deepseek-v4-pro__r3
ng-feat1-reading-time,z-ai/glm-5.2,1,True,True,518,1807,0.0077,48.9,results\ng-feat1-reading-time__z-ai_glm-5.2__r1
ng-feat1-reading-time,z-ai/glm-5.2,2,True,True,518,1266,0.0056,24.3,results\ng-feat1-reading-time__z-ai_glm-5.2__r2
ng-feat1-reading-time,z-ai/glm-5.2,3,True,True,518,1763,0.0076,27.6,results\ng-feat1-reading-time__z-ai_glm-5.2__r3
ng-feat1-reading-time,minimax/minimax-m2.7,1,True,True,561,933,0.0011,16.4,results\ng-feat1-reading-time__minimax_minimax-m2.7__r1
ng-feat1-reading-time,minimax/minimax-m2.7,2,True,True,558,863,0.001,8.3,results\ng-feat1-reading-time__minimax_minimax-m2.7__r2
ng-feat1-reading-time,minimax/minimax-m2.7,3,True,True,561,1383,0.0015,26.7,results\ng-feat1-reading-time__minimax_minimax-m2.7__r3
ng-feat2-service-search,qwen/qwen3.7-plus,1,True,True,694,2661,0.0036,50.4,results\ng-feat2-service-search__qwen_qwen3.7-plus__r1
ng-feat2-service-search,qwen/qwen3.7-plus,2,True,True,694,2520,0.0034,47.7,results\ng-feat2-service-search__qwen_qwen3.7-plus__r2
ng-feat2-service-search,qwen/qwen3.7-plus,3,True,True,694,1935,0.0027,36.6,results\ng-feat2-service-search__qwen_qwen3.7-plus__r3
ng-feat2-service-search,google/gemini-3.1-flash-lite,1,True,True,761,711,0.0013,3.7,results\ng-feat2-service-search__google_gemini-3.1-flash-lite__r1
ng-feat2-service-search,google/gemini-3.1-flash-lite,2,True,True,760,711,0.0013,3.3,results\ng-feat2-service-search__google_gemini-3.1-flash-lite__r2
ng-feat2-service-search,google/gemini-3.1-flash-lite,3,True,True,761,711,0.0013,3.1,results\ng-feat2-service-search__google_gemini-3.1-flash-lite__r3
ng-feat2-service-search,qwen/qwen3-coder-next,1,True,True,636,571,0.0005,8.5,results\ng-feat2-service-search__qwen_qwen3-coder-next__r1
ng-feat2-service-search,qwen/qwen3-coder-next,2,True,True,636,571,0.0005,15.1,results\ng-feat2-service-search__qwen_qwen3-coder-next__r2
ng-feat2-service-search,qwen/qwen3-coder-next,3,True,True,636,571,0.0005,5.9,results\ng-feat2-service-search__qwen_qwen3-coder-next__r3
ng-feat2-service-search,tencent/hy3-preview,1,True,True,700,2369,0.0007,40.6,results\ng-feat2-service-search__tencent_hy3-preview__r1
ng-feat2-service-search,tencent/hy3-preview,2,True,True,700,2173,0.0006,43.5,results\ng-feat2-service-search__tencent_hy3-preview__r2
ng-feat2-service-search,tencent/hy3-preview,3,True,True,700,2534,0.0007,46.8,results\ng-feat2-service-search__tencent_hy3-preview__r3
ng-feat2-service-search,qwen/qwen3-coder,1,True,True,636,566,0.0012,6.9,results\ng-feat2-service-search__qwen_qwen3-coder__r1
ng-feat2-service-search,qwen/qwen3-coder,2,True,True,636,566,0.0012,9.6,results\ng-feat2-service-search__qwen_qwen3-coder__r2
ng-feat2-service-search,qwen/qwen3-coder,3,True,True,636,568,0.0012,11.2,results\ng-feat2-service-search__qwen_qwen3-coder__r3
ng-feat2-service-search,deepseek/deepseek-v4-pro,1,True,True,690,1835,0.0019,30.0,results\ng-feat2-service-search__deepseek_deepseek-v4-pro__r1
ng-feat2-service-search,deepseek/deepseek-v4-pro,2,True,True,690,1067,0.0012,19.5,results\ng-feat2-service-search__deepseek_deepseek-v4-pro__r2
ng-feat2-service-search,deepseek/deepseek-v4-pro,3,True,True,690,1017,0.0012,18.6,results\ng-feat2-service-search__deepseek_deepseek-v4-pro__r3
ng-feat2-service-search,z-ai/glm-5.2,1,True,True,639,1643,0.0072,22.5,results\ng-feat2-service-search__z-ai_glm-5.2__r1
ng-feat2-service-search,z-ai/glm-5.2,2,True,True,639,1589,0.007,35.1,results\ng-feat2-service-search__z-ai_glm-5.2__r2
ng-feat2-service-search,z-ai/glm-5.2,3,True,True,639,1455,0.0065,55.6,results\ng-feat2-service-search__z-ai_glm-5.2__r3
ng-feat2-service-search,minimax/minimax-m2.7,1,True,True,719,948,0.0011,17.9,results\ng-feat2-service-search__minimax_minimax-m2.7__r1
ng-feat2-service-search,minimax/minimax-m2.7,2,False,False,721,979,0.0012,12.9,results\ng-feat2-service-search__minimax_minimax-m2.7__r2
ng-feat2-service-search,minimax/minimax-m2.7,3,True,True,716,918,0.0011,20.9,results\ng-feat2-service-search__minimax_minimax-m2.7__r3
re-bug1-favorite-count,minimax/minimax-m3,1,True,True,830,742,0.0011,16.5,results\re-bug1-favorite-count__minimax_minimax-m3__r1
re-bug1-favorite-count,minimax/minimax-m3,2,True,True,830,820,0.0012,35.3,results\re-bug1-favorite-count__minimax_minimax-m3__r2
re-bug1-favorite-count,minimax/minimax-m3,3,True,True,830,969,0.0014,17.3,results\re-bug1-favorite-count__minimax_minimax-m3__r3
re-bug1-favorite-count,deepseek/deepseek-v4-flash,1,True,True,699,579,0.0002,35.3,results\re-bug1-favorite-count__deepseek_deepseek-v4-flash__r1
re-bug1-favorite-count,deepseek/deepseek-v4-flash,2,True,True,699,898,0.0002,8.7,results\re-bug1-favorite-count__deepseek_deepseek-v4-flash__r2
re-bug1-favorite-count,deepseek/deepseek-v4-flash,3,True,True,699,803,0.0002,8.3,results\re-bug1-favorite-count__deepseek_deepseek-v4-flash__r3
re-bug1-favorite-count,z-ai/glm-4.7,1,True,True,610,1267,0.0025,16.7,results\re-bug1-favorite-count__z-ai_glm-4.7__r1
re-bug1-favorite-count,z-ai/glm-4.7,2,True,True,610,1303,0.0025,29.2,results\re-bug1-favorite-count__z-ai_glm-4.7__r2
re-bug1-favorite-count,z-ai/glm-4.7,3,True,True,610,1658,0.0031,21.5,results\re-bug1-favorite-count__z-ai_glm-4.7__r3
re-feat1-reading-time,minimax/minimax-m3,1,True,True,333,572,0.0008,7.9,results\re-feat1-reading-time__minimax_minimax-m3__r1
re-feat1-reading-time,minimax/minimax-m3,2,True,True,333,1131,0.0015,16.6,results\re-feat1-reading-time__minimax_minimax-m3__r2
re-feat1-reading-time,minimax/minimax-m3,3,True,True,333,707,0.0009,10.5,results\re-feat1-reading-time__minimax_minimax-m3__r3
re-feat1-reading-time,deepseek/deepseek-v4-flash,1,True,True,166,374,0.0001,4.5,results\re-feat1-reading-time__deepseek_deepseek-v4-flash__r1
re-feat1-reading-time,deepseek/deepseek-v4-flash,2,True,True,166,489,0.0001,4.7,results\re-feat1-reading-time__deepseek_deepseek-v4-flash__r2
re-feat1-reading-time,deepseek/deepseek-v4-flash,3,True,True,166,1275,0.0002,13.8,results\re-feat1-reading-time__deepseek_deepseek-v4-flash__r3
re-feat1-reading-time,z-ai/glm-4.7,1,True,True,165,2370,0.0042,10.2,results\re-feat1-reading-time__z-ai_glm-4.7__r1
re-feat1-reading-time,z-ai/glm-4.7,2,True,True,165,4101,0.0072,60.1,results\re-feat1-reading-time__z-ai_glm-4.7__r2
re-feat1-reading-time,z-ai/glm-4.7,3,True,True,165,3947,0.007,56.9,results\re-feat1-reading-time__z-ai_glm-4.7__r3
re-feat2-author-filter,minimax/minimax-m3,1,True,True,850,580,0.001,5.7,results\re-feat2-author-filter__minimax_minimax-m3__r1
re-feat2-author-filter,minimax/minimax-m3,2,False,False,850,585,0.001,5.7,results\re-feat2-author-filter__minimax_minimax-m3__r2
re-feat2-author-filter,minimax/minimax-m3,3,False,False,863,750,0.0012,6.9,results\re-feat2-author-filter__minimax_minimax-m3__r3
re-feat2-author-filter,deepseek/deepseek-v4-flash,1,True,True,742,1356,0.0003,13.9,results\re-feat2-author-filter__deepseek_deepseek-v4-flash__r1
re-feat2-author-filter,deepseek/deepseek-v4-flash,2,True,True,742,1110,0.0003,11.6,results\re-feat2-author-filter__deepseek_deepseek-v4-flash__r2
re-feat2-author-filter,deepseek/deepseek-v4-flash,3,False,False,742,1451,0.0003,15.2,results\re-feat2-author-filter__deepseek_deepseek-v4-flash__r3
re-feat2-author-filter,z-ai/glm-4.7,1,False,False,644,1457,0.0028,25.1,results\re-feat2-author-filter__z-ai_glm-4.7__r1
re-feat2-author-filter,z-ai/glm-4.7,2,ERROR,ERROR,0,0,0,0,"expected string or bytes-like object, got 'NoneType'"
re-feat2-author-filter,z-ai/glm-4.7,3,True,True,644,3761,0.0068,16.3,results\re-feat2-author-filter__z-ai_glm-4.7__r3
re-bug1-favorite-count,qwen/qwen3.7-plus,1,True,True,695,1157,0.0017,25.4,results\re-bug1-favorite-count__qwen_qwen3.7-plus__r1
re-bug1-favorite-count,qwen/qwen3.7-plus,2,True,True,695,1513,0.0022,30.2,results\re-bug1-favorite-count__qwen_qwen3.7-plus__r2
re-bug1-favorite-count,qwen/qwen3.7-plus,3,True,True,695,1168,0.0017,24.8,results\re-bug1-favorite-count__qwen_qwen3.7-plus__r3
re-bug1-favorite-count,google/gemini-3.1-flash-lite,1,True,True,767,654,0.0012,2.7,results\re-bug1-favorite-count__google_gemini-3.1-flash-lite__r1
re-bug1-favorite-count,google/gemini-3.1-flash-lite,2,True,True,767,654,0.0012,2.4,results\re-bug1-favorite-count__google_gemini-3.1-flash-lite__r2
re-bug1-favorite-count,google/gemini-3.1-flash-lite,3,True,True,766,654,0.0012,2.8,results\re-bug1-favorite-count__google_gemini-3.1-flash-lite__r3
re-bug1-favorite-count,qwen/qwen3-coder-next,1,True,True,613,498,0.0005,3.8,results\re-bug1-favorite-count__qwen_qwen3-coder-next__r1
re-bug1-favorite-count,qwen/qwen3-coder-next,2,True,True,613,498,0.0005,11.2,results\re-bug1-favorite-count__qwen_qwen3-coder-next__r2
re-bug1-favorite-count,qwen/qwen3-coder-next,3,True,True,613,498,0.0005,7.7,results\re-bug1-favorite-count__qwen_qwen3-coder-next__r3
re-bug1-favorite-count,tencent/hy3-preview,1,True,True,695,2026,0.0006,37.4,results\re-bug1-favorite-count__tencent_hy3-preview__r1
re-bug1-favorite-count,tencent/hy3-preview,2,True,True,695,2164,0.0006,39.9,results\re-bug1-favorite-count__tencent_hy3-preview__r2
re-bug1-favorite-count,tencent/hy3-preview,3,True,True,695,3311,0.0009,63.3,results\re-bug1-favorite-count__tencent_hy3-preview__r3
re-bug1-favorite-count,qwen/qwen3-coder,1,True,True,613,497,0.001,13.0,results\re-bug1-favorite-count__qwen_qwen3-coder__r1
re-bug1-favorite-count,qwen/qwen3-coder,2,True,True,613,497,0.001,8.6,results\re-bug1-favorite-count__qwen_qwen3-coder__r2
re-bug1-favorite-count,qwen/qwen3-coder,3,True,True,613,497,0.001,8.5,results\re-bug1-favorite-count__qwen_qwen3-coder__r3
re-bug1-favorite-count,deepseek/deepseek-v4-pro,1,True,True,699,990,0.0012,16.6,results\re-bug1-favorite-count__deepseek_deepseek-v4-pro__r1
re-bug1-favorite-count,deepseek/deepseek-v4-pro,2,True,True,699,700,0.0009,12.3,results\re-bug1-favorite-count__deepseek_deepseek-v4-pro__r2
re-bug1-favorite-count,deepseek/deepseek-v4-pro,3,True,True,699,819,0.001,13.0,results\re-bug1-favorite-count__deepseek_deepseek-v4-pro__r3
re-bug1-favorite-count,z-ai/glm-5.2,1,True,True,617,861,0.0041,16.9,results\re-bug1-favorite-count__z-ai_glm-5.2__r1
